"psi_true","sigma_Y","method","n_reps","bias","emp_se","avg_se","se_ratio","rmse","cover_95"
-0.5,2,"OLS",10000,0.473058103875378,0.213560439340882,0.213669473379903,1.00051055354333,0.519025500421235,0.4004
-0.5,2,"RonR",10000,0.0672266394133353,0.20476220176273,0.199767988204785,0.975609690094404,0.215505887533507,0.9279
-0.5,2,"TMLE",10000,0.0820996342465881,0.221992985187373,0.22315607608398,1.00523931373609,0.236677644333548,0.9331
0,0.5,"AIPW",10000,0.00622922792021358,0.0582772534332539,0.0573219201471722,0.983607098313652,0.0586063300708968,0.9453
0,0.5,"OLS",10000,0.474903389117716,0.102003509371234,0.102994133012186,1.00971166234434,0.485733367649318,0.0042
0,0.5,"RonR",10000,0.00445905115278424,0.0518053759017137,0.0499806048232206,0.964776414672579,0.0519943432481243,0.9389
0,0.5,"TMLE",10000,0.00712782748920158,0.0560552170958176,0.0561531341917892,1.00174679719471,0.0565037969488662,0.9458
0,1,"AIPW",10000,0.0239610132204314,0.116194766689953,0.114529584407814,0.985669042336625,0.118633906781753,0.9422
0,1,"OLS",10000,0.474288294036937,0.132170972812042,0.132732258256514,1.00424666197525,0.492358411117292,0.0535
0,1,"RonR",10000,0.017273075420261,0.103400594675041,0.0999300133430392,0.966435576672369,0.104828302215233,0.9371
0,1,"TMLE",10000,0.0261859898652271,0.111956147366911,0.112175232328354,1.00195688192739,0.114972307885725,0.9428
0,2,"AIPW",10000,0.0761465577453955,0.229805750970033,0.227992531506863,0.992109773338933,0.242082011655257,0.9332
0,2,"OLS",10000,0.473058103875378,0.213560439340882,0.213669473379903,1.00051055354333,0.519025500421235,0.4004
0,2,"RonR",10000,0.0584355310485482,0.205399461064926,0.199521940535417,0.971384927209469,0.21354023274509,0.9311
0,2,"TMLE",10000,0.081911078215066,0.222078425448784,0.223119252971158,1.00468675658282,0.236692458480325,0.9331
0.5,0.5,"AIPW",10000,0.00622922906608271,0.0582772549107951,0.0573219201964685,0.983607074221513,0.0586063316617882,0.9453
0.5,0.5,"OLS",10000,0.474903389117716,0.102003509371234,0.102994133012186,1.00971166234434,0.485733367649319,0.0042
0.5,0.5,"RonR",10000,0.000793364122298602,0.0520460171912429,0.0500340964469955,0.961343425437251,0.052049461604431,0.9398
0.5,0.5,"TMLE",10000,0.00675140367361478,0.0561663723238664,0.0561443740171936,0.999608336701079,0.0565679004864887,0.9455
0.5,1,"AIPW",10000,0.0239610164310036,0.116194769297246,0.114529584855531,0.985669024072373,0.118633909983638,0.9422
0.5,1,"OLS",10000,0.474288294036937,0.132170972812042,0.132732258256514,1.00424666197525,0.492358411117292,0.0535
0.5,1,"RonR",10000,0.0125495098977531,0.103739725328427,0.0998513095338105,0.962517581550304,0.104490882936408,0.9386
0.5,1,"TMLE",10000,0.0259095082663909,0.1120722247969,0.112147277639723,1.00066968281355,0.115022737626854,0.9426
0.5,2,"AIPW",10000,0.0761465682223688,0.229805751120676,0.227992532484054,0.992109776940828,0.242082015093764,0.9332
0.5,2,"OLS",10000,0.473058103875378,0.213560439340882,0.213669473379903,1.00051055354333,0.519025500421235,0.4004
0.5,2,"RonR",10000,0.0511855498181574,0.205995623244701,0.199351297022871,0.967745303918726,0.21224964990897,0.9325
0.5,2,"TMLE",10000,0.0817446846717118,0.222157184506736,0.223083144362008,1.00416803920759,0.236708835320051,0.9333
1,0.5,"AIPW",10000,0.00622923019860479,0.058277256382748,0.0573219202460744,0.983607050229007,0.0586063332457049,0.9453
1,0.5,"OLS",10000,0.474903389117716,0.102003509371234,0.102994133012186,1.00971166234434,0.485733367649319,0.0042
1,0.5,"RonR",10000,-0.00139404777107235,0.0524458483989682,0.0503161495263847,0.959392422134496,0.0524617510837578,0.9407
